run_timestamp,experiment,phase,method,INPUT_LEN,input_len,frac_target,n_target,rep_idx,seed,metric_mae,metric_mse,metric_rmse,target_region,source_region,TARGET_COL,HORIZON,STRIDE,n_features,target_station_ids,delta_pct,note,use_target_task_loss,n_repeats,arima_mae,arima_mse,vanilla_mae_mean,vanilla_mae_std,vanilla_mse_mean,vanilla_mse_std,dann_mae_mean,dann_mae_std,dann_mse_mean,dann_mse_std,delta_mae_mean,delta_mse_mean,wilcoxon_p_mae,wilcoxon_p_mse
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,8.0,2121209517.0,1.3086087703704834,2.929067611694336,1.711451901659622,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,9.0,1511994827.0,1.437883973121643,3.481812000274658,1.8659614144656524,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,9.0,1511994827.0,1.2951555252075195,2.8238184452056885,1.6804221032840791,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,10.0,1808730298.0,1.4360648393630981,3.468398094177246,1.8623635773331817,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,10.0,1808730298.0,1.2457623481750488,2.4728899002075195,1.572542495517218,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,11.0,1561768124.0,1.4258071184158325,3.4172251224517822,1.8485738076830425,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,11.0,1561768124.0,1.211836576461792,2.43654465675354,1.56094351491447,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,12.0,1631421990.0,1.451114296913147,3.530055046081543,1.8788440717849746,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,dann,7,7.0,0.05,1912.0,12.0,1631421990.0,1.3099294900894165,2.929983139038086,1.7117193517157203,papua,java,max_temperature,7,2,9,,,,True,,,,,,,,,,,,,,,
2026-03-13T14:30:36+08:00,low_resource,repeat,vanilla,7,7.0,0.05,1912.0,13.0,2039845771.0,1.4636813402175903,3.616264820098877,1.9016479222240055,papua,java,max_temperature,7,2,9,,,,,,,,,,,,,,,,,,,
