run_timestamp,experiment,phase,method,INPUT_LEN,frac_target,n_target,rep_idx,seed,metric_mae,metric_mse,metric_rmse,HORIZON,STRIDE,n_features,target_station_ids,vtt_mae_mean,vtt_mae_std,vtt_mse_mean,vtt_mse_std,vtt_rmse_mean,vtt_rmse_std,vtkm_mae_mean,vtkm_mae_std,vtkm_mse_mean,vtkm_mse_std,vtkm_rmse_mean,vtkm_rmse_std,attf_mae_mean,attf_mae_std,attf_mse_mean,attf_mse_std,attf_rmse_mean,attf_rmse_std,daf_mae_mean,daf_mae_std,daf_mse_mean,daf_mse_std,daf_rmse_mean,daf_rmse_std,tft_non_da_mae_mean,tft_non_da_mae_std,tft_non_da_mse_mean,tft_non_da_mse_std,tft_non_da_rmse_mean,tft_non_da_rmse_std,tft_da_mae_mean,tft_da_mae_std,tft_da_mse_mean,tft_da_mse_std,tft_da_rmse_mean,tft_da_rmse_std,wilcoxon_p_vtt_vtkm_mae,wilcoxon_p_vtt_vtkm_mse,wilcoxon_p_vtt_vtkm_rmse,wilcoxon_p_attf_daf_mae,wilcoxon_p_attf_daf_mse,wilcoxon_p_attf_daf_rmse,wilcoxon_p_tft_mae,wilcoxon_p_tft_mse,wilcoxon_p_tft_rmse,wilcoxon_p_tft_kmm_mae,wilcoxon_p_tft_kmm_mse,wilcoxon_p_tft_kmm_rmse,wilcoxon_p_tft_daf_mae,wilcoxon_p_tft_daf_mse,wilcoxon_p_tft_daf_rmse
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.05,1910.0,0.0,843828734.0,14.604914665222168,220.65463256835938,14.85444824180149,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.05,1910.0,1.0,914636141.0,21.26979637145996,459.1622314453125,21.428071108835542,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.05,1910.0,1.0,914636141.0,17.17750358581543,301.7295227050781,17.37036334407194,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.05,1910.0,1.0,914636141.0,1.3076273202896118,2.785980463027954,1.6691256582498377,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.05,1910.0,1.0,914636141.0,0.9513573050498962,1.5363085269927979,1.2394791353600099,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.05,1910.0,1.0,914636141.0,21.643760681152344,475.5345764160156,21.80675506591797,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.05,1910.0,1.0,914636141.0,14.927592277526855,229.86541748046875,15.16131318456514,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.05,1910.0,2.0,1228959102.0,21.551334381103516,471.3709411621094,21.71107876550839,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.05,1910.0,2.0,1228959102.0,18.333499908447266,342.7801208496094,18.514322046718572,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.05,1910.0,2.0,1228959102.0,1.3406810760498047,2.927250623703003,1.7109209869842041,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.05,1910.0,2.0,1228959102.0,1.002587080001831,1.7157559394836426,1.30986867260945,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.05,1910.0,2.0,1228959102.0,21.64211082458496,475.315673828125,21.801734924316406,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.05,1910.0,2.0,1228959102.0,14.791646957397461,226.63381958007812,15.05436214457717,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.05,1910.0,3.0,1840268610.0,21.348587036132812,462.6111755371094,21.508397791028262,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.05,1910.0,3.0,1840268610.0,17.5524959564209,314.7530517578125,17.741281006675152,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.05,1910.0,3.0,1840268610.0,1.3383687734603882,2.9204342365264893,1.7089278031931276,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.05,1910.0,3.0,1840268610.0,0.9419876933097839,1.507357120513916,1.2277447293773718,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.05,1910.0,3.0,1840268610.0,21.56399154663086,471.8414306640625,21.72191047668457,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.05,1910.0,3.0,1840268610.0,14.510478973388672,217.3855743408203,14.744001300217668,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.05,1910.0,4.0,974319580.0,21.512245178222656,469.7725830078125,21.674237772245014,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.05,1910.0,4.0,974319580.0,18.530414581298828,350.0391845703125,18.709334156252396,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.05,1910.0,4.0,974319580.0,1.3928430080413818,3.019911527633667,1.7377892644488477,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.05,1910.0,4.0,974319580.0,1.012725830078125,1.7488728761672974,1.322449574149161,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.05,1910.0,4.0,974319580.0,21.416912078857422,465.4486389160156,21.57425880432129,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.05,1910.0,4.0,974319580.0,14.924385070800781,229.81239318847656,15.159564412887217,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.05,1910.0,5.0,819844194.0,21.223499298095703,457.18145751953125,21.3818020175927,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.05,1910.0,5.0,819844194.0,17.589557647705078,316.05548095703125,17.777949289978057,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.05,1910.0,5.0,819844194.0,1.3338277339935303,2.9149022102355957,1.7073084695612553,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.05,1910.0,5.0,819844194.0,0.8904495239257812,1.372390866279602,1.1714908733232205,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.05,1910.0,5.0,819844194.0,21.689878463745117,477.42626953125,21.850086212158203,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.05,1910.0,5.0,819844194.0,14.541600227355957,218.33883666992188,14.776293062535064,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.05,1910.0,6.0,220395238.0,21.8646297454834,484.8492736816406,22.0192932148523,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.05,1910.0,6.0,220395238.0,17.253780364990234,304.3558349609375,17.445797057197975,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.05,1910.0,6.0,220395238.0,1.2365427017211914,2.5320863723754883,1.5912530824402158,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.05,1910.0,6.0,220395238.0,0.9319602251052856,1.4328423738479614,1.1970139405403604,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.05,1910.0,6.0,220395238.0,21.545886993408203,470.9709777832031,21.701866149902344,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.05,1910.0,6.0,220395238.0,14.866268157958984,228.05787658691406,15.101585234236639,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.05,1910.0,7.0,941243409.0,21.51231575012207,470.1697082519531,21.68339706438899,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.05,1910.0,7.0,941243409.0,17.620553970336914,317.1468200683594,17.808616455759818,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.05,1910.0,7.0,941243409.0,1.346923589706421,3.0003902912139893,1.7321634712734215,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.05,1910.0,7.0,941243409.0,0.9226213097572327,1.460466980934143,1.2084978199956105,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.05,1910.0,7.0,941243409.0,21.503698348999023,469.4285583496094,21.66629981994629,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.05,1910.0,7.0,941243409.0,14.737122535705566,224.20916748046875,14.973615711659917,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.05,1910.0,8.0,942612051.0,21.63223648071289,474.7447509765625,21.788638116609366,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.05,1910.0,8.0,942612051.0,17.785247802734375,322.97796630859375,17.971587751464636,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.05,1910.0,8.0,942612051.0,1.3269082307815552,2.907846450805664,1.705240877649156,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.05,1910.0,8.0,942612051.0,0.954192042350769,1.5726302862167358,1.2540455678390383,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.05,1910.0,8.0,942612051.0,21.700183868408203,477.7069396972656,21.856508255004883,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.05,1910.0,8.0,942612051.0,14.69118881225586,222.8019561767578,14.926552052525654,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.05,1910.0,9.0,2109339754.0,21.84165382385254,483.8787841796875,21.997244922482622,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.05,1910.0,9.0,2109339754.0,17.509822845458984,313.25677490234375,17.69906141303385,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.05,1910.0,9.0,2109339754.0,1.4304146766662598,3.259953022003174,1.8055339991268993,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.05,1910.0,9.0,2109339754.0,0.9086788296699524,1.4267117977142334,1.1944504165992966,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.05,1910.0,9.0,2109339754.0,21.424917221069336,466.1840515136719,21.59129524230957,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.05,1910.0,9.0,2109339754.0,14.653646469116211,221.73228454589844,14.890677773221018,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,summary,summary,14,0.05,1910.0,9.0,2109339754.0,,,,7,2,9,,21.545775985717775,0.22163789125801975,471.1582336425781,9.557046316843051,21.705174518551367,0.22018366527008013,17.721985626220704,0.4307325350662391,320.8986572265625,15.391354333988703,320.8986572265625,15.391354333988703,1.3357218027114868,0.051810703929876405,2.902489161491394,0.18987206909712268,1.702842517656736,0.055941651664562574,0.9400426805019378,0.04281012843936495,1.5105906963348388,0.13734599364874778,1.2279410772370014,0.05529122060981942,21.594977378845215,0.12777510885994497,473.2775024414062,5.505784847349325,21.75461082458496,0.12650525489108483,14.724884414672852,0.15116331378372452,223.9491958618164,4.535992699012872,14.964241311822699,0.15157624907510348,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,1.0,1.0,1.0,1.0,0.0009765625,0.0009765625,0.0009765625
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.15,5731.0,0.0,1817228411.0,21.659988403320312,475.8184814453125,21.813263887949287,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.15,5731.0,0.0,1817228411.0,18.188282012939453,337.4765319824219,18.370534341233025,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.15,5731.0,0.0,1817228411.0,1.1971218585968018,2.32320499420166,1.524206348957273,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.15,5731.0,0.0,1817228411.0,0.934770941734314,1.5019514560699463,1.2255412910505896,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.15,5731.0,0.0,1817228411.0,7.665429592132568,65.37450408935547,8.085450172424316,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.15,5731.0,0.0,1817228411.0,1.3560930490493774,3.02062726020813,1.737995184172882,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.15,5731.0,1.0,1202710073.0,21.407167434692383,464.929443359375,21.56222259785329,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.15,5731.0,1.0,1202710073.0,17.68320655822754,319.3586730957031,17.870609197665956,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.15,5731.0,1.0,1202710073.0,1.209696888923645,2.391896963119507,1.5465758834016219,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.15,5731.0,1.0,1202710073.0,0.8832915425300598,1.3480744361877441,1.1610660774425132,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.15,5731.0,1.0,1202710073.0,7.626834392547607,65.03547668457031,8.064457893371582,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.15,5731.0,1.0,1202710073.0,1.3903437852859497,3.133798122406006,1.7702536887141362,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran transformer,14,0.15,5731.0,2.0,2064866518.0,21.490440368652344,468.5019836425781,21.644906644348875,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,vu tran kmm,14,0.15,5731.0,2.0,2064866518.0,17.59035301208496,316.0834655761719,17.778736332376717,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,attf,14,0.15,5731.0,2.0,2064866518.0,1.2169530391693115,2.39548659324646,1.547735957211843,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,daf,14,0.15,5731.0,2.0,2064866518.0,0.9016538262367249,1.396095871925354,1.1815650096060537,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft non da,14,0.15,5731.0,2.0,2064866518.0,7.664675235748291,65.74837493896484,8.108536720275879,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-06 07:59:40,low-resource,repeat,tft da,14,0.15,5731.0,2.0,2064866518.0,1.3072007894515991,2.8503870964050293,1.68830894578126,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
